,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Dataset,Number of Examples,Number of Features
,,,,,,,,,,,,,,,Iris,150,4
,,,,,,,,,,,,,,,Vehicle,946,18
TRAINING,Accuracy,,F-Measure,,,,,,,,,,,,Sonar,208,60
Dataset,GCNN,OGCNN,GCNN,OGCNN,,Dataset,Number of Examples,Number of Features,,,,,,,Image Segmentation,210,19
Iris,0.2874,0.3274,0.26,0.3533,,Iris,150,4,,,,,,,Breast Cancer Winsconsin,699,10
Vehicle,0.2269,0.2175,0.1961,0.1852,,Vehicle,946,18,,,,,,,Pen-digits,10992,16
Sonar,0.5145,0.4952,0.4723,0.5039,,Sonar,208,60,,,,,,,,,
Image Segmentation,0.1434,0.1286,0.1435,0.1474,,Image Segmentation,210,19,,,,,,,,,
Breast Cancer Winsconsin,0.5474,0.4883,0.5161,0.3483,,Breast Cancer Winsconsin,699,10,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TESTING,Accuracy,,F-Measure,,,,Running Time,,,,,,,,,,
Dataset,GCNN,OGCNN,GCNN,OGCNN,,Dataset,GCNN,OGCNN,Difference (s),Difference (min),,,,,,,
Iris,0.26,0.353,0.3589,0.382,,Iris,97.22,5.73,91.49,1.5248,,,,,,,
Vehicle,0.2269,0.2186,0.2929,0.2316,,Vehicle,4462.85,170.52,4292.33,71.5388,,,,,,,
Sonar,0.509,0.5238,0.578,0.5377,,Sonar,162.26,8.01,154.25,2.5708,,,,,,,
Image Segmentation,0.1619,0.1429,0.2445,0.1828,,Image Segmentation,230.03,13.73,216.3,3.6050,,,,,,,
Breast Cancer Winsconsin,0.5638,0.4937,0.5189,0.3506,,Breast Cancer Winsconsin,2601.94,85.52,2516.42,41.9403,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
